id,chat_history,sys_response,situation,emotion,question or not,behavior
1778,"[""My girlfriend has been acting suspicious lately. Guarding her phone, being absent here and there when she didn't used to be. Having weird excuses for her weird behavior. She tells me nothing is going on, and I try to believe her. I don't know how much longer that will last."", ""I'm sorry. It can be hard to be in a situation where you think the other person is cheating. Is there any other reason she might be acting suspicious? Have you talked to her about it?"", ""I've talked to her about it a lot. At this point, I start to feel whiney. But I don't know what else to do. Avoid it when there's still concern? I'm still not getting the answers I want, and I still have suspicions.""]",Maybe you just need to give her some space. Women tend to pull back when they feel like they are being smothered. Either it works or she moves on. No matter which happens you know.,"My girlfriend has been acting suspicious lately. Guarding her phone, being absent here and there when she didn't used to be. Having weird excuses for her weird behavior. She tells me nothing is going on, and I try to believe her. I don't know how much longer that will last.",trusting,[None],[None]
1951,"['My kids are so bad about bringing their dirty dishes to the sink and not rinsing them off.', ""Aw man, kids can be SO lazy and don't like to do what they're supposed to. Have you tried a rewards system to get them to do what they have to, or are they too old for that?"", ""They are to old for that. I don't have a dishwasher and have told them if they don't get it together they will be doing the dishes themselves.""]","YES. I say make them do it. Maybe take away phones, etc. if they don't get it together. No excuses for that!",My kids will bring their dirty dishes in and put them in the sink without washing them off. We don't have a dishwasher and I have to end up scrubbing those by hand. It drives me nuts.,surprised,[None],[None]
1960,"['Some stories terrifies me', 'Well then avoid the stories that scare you.', 'Yes,but we are in the world']",Well there's no reason to waste your time reading scary stories.,I was alwals terrified about the unknown,afraid,[None],[None]
2081,"[""Man, don't you hate when you have a test coming up and you procrastinate studying?"", 'Yes.. I have a test coming up and I should be studying right now!  LOL', ""Hahaha, well, this is a pretty good use of your time as well though! But yea, it's so much easier when you study ahead of time. I don't know why I don't do it more often, lol.""]",They say some of the smartest people are procrastinators.,"One time I had a test to take. I studied and studied and got myself ready for it. When it came time to take it, it felt extremely easy.",prepared,[None],[None]
2108,"[""I've lost my job and am behind on my mortgage. It scares me that I could lose my home."", ""That's awful, I'm sorry to hear that. I lost my job once as well and times got really hard. What kind of stuff are you doing to try and avoid that outcome?"", ""Thank you. I've been working odd and ends and am looking for a job that pays more of course. How did you overcome that time?""]","Well, at the time I was holding out for a similar paying job like I had before but I could not find one and I ended up working fast food. I had to downsize my place as well.",I've lost my job and am behind on my mortgage. It scares me that I could lose my home.,terrified,[None],[None]
2141,['Sometimes I feel like I have so much going on that I feel overwhelmed and over ran with anxiety that it makes it hard to stay focused on everything'],"I totally understand.  Life can sometimes seem overwhelming.  I have learned to stop, take a deep breath, and do one thing at a time.",I find myself with being over ran with anxiety that it is hard to concentrate and stay focused,anxious,[None],"I'm in a negative mood, please comfort me."
2369,"[""i'm very worried about coming off too bossy in front of my boss and director."", 'Why is that?', 'i am just not cool with lazy people and slackers. i am just a doer']",I don't think that being bossy. You are just really concerned with getting a job done efficiently,i'm very worried about coming off too bossy in front of my boss and director.,guilty,[None],[None]
2463,"['So I just bought plane tickets and book a hotel.  I am going to Vegas for the first time this fall!', 'im so excited for you, my friend has gone twice he said a lot of people are passed out drunk on the street , and even taco bell sells alcohol very weird place', 'I will avoid the passing out drunk on the street part, but I am very pumped to be going']","i would love going one day as well , just ignore the drunk people i bet your gonna have a blast",I just bought plane tickets to Las Vegas for this fall.  I have never been and I am very happy about it,excited,[None],[None]
2483,"['When I was pregnant, the smell of cooking egss made me feel so sick', 'Really? Did you avoid eating them?', ""I tried, but once I had to go to a brunch work thing for my husband's job.  I spent the whole time in the restroom.""]","Wow! That happened to me at work when I was pregnant, too. Except for me, it was curry.","When I was pregnant, the smell of cooking eggs made me sick to my stomach. I had to go to my husband's work brunch even and spent the whole time in the restroom.",disgusted,[None],[None]
2731,"[""I'm in no hurry to move out of my parents house."", ""I don't blame you. I would be trying to avoid bills too."", 'Plus my moms my bestfriend so its a win win situation.']",It is always good to have a pleasant relationship with your parents.,"Living with my family, I have no rushes to move out. Love my parents a lot.",content,[None],[None]
2781,"['my little sister got a job and is still in highs school i know this was  a common thing for anyone back in the days , but in todays world a lot o people are lazy and in titled i felt happy for her']","Oh my lord,  Are you okay?",my baby sister got a job,surprised,ask me for further details,[None]
2846,"[""My son is getting pretty good at playing the drums. I always wish I learned how to play an instrument, but never had the courage to. Glad that I motivated him to play and very happy that he's actually getting pretty decent."", ""That's awesome, I'm with you, I always wished I continued to learn to play the guitar.  It's always a nice skill to have."", ""I feel like it's one of the few things I could have just had a natural talent to do, if I actually put effort into developing it. Can't really explain it. My dad was good at it, and the movements to drum feel natural and fun to me. But I got lazy and never went with it.""]","Hey, it's never too late to start up again.  You can always do it as a hobby!","My son is getting pretty good at playing the drums. I always wish I learned how to play an instrument, but never had the courage to. Glad that I motivated him to play and very happy that he's actually getting pretty decent.",impressed,[None],[None]
3074,"['I uber food fom McDonalds often. I have never gotten a bad order yet. WEird huh', ""that's really good! Have you been driving distracted when you uber?"", ""I don't drive. I order the food lol.""]","oh okay sorry, i was just a little distracted about my car accident the other day.",I have never had a bad uber order from McDonalds. That was unexpected.,impressed,[None],"I'm in a negative mood, please comfort me."
3199,"[""I'm doing a pretty good job balancing work and school right now. School is about to start up again, and I've managed to maintain my savings and pay off my student loans a little bit while still in school. I don't feel like a lot of other students can say that, and I'm happy""]",I'm so proud of you! That's a lot to deal with all at once!,"I'm doing a pretty good job balancing work and school right now. School is about to start up again, and I've managed to maintain my savings and pay off my student loans a little bit while still in school. I don't feel like a lot of other students can say that, and I'm happy",proud,[None],"I'm in a positive mood, please congratulate me and praise me."
3375,"['I am ashamed of myself for being lazy and not going to the gym, I am not sure why I struggle with it', 'Same.. for me its because i work so much, and being a parent is so draining for me... i bought a new machine tho im going to start working out on friday. Try to find out whats causing it for you, and take 1 step to fix it you got this!', 'That is what I will try, I just keep making excuses']",One tiny baby step in the right direction and everything else will fall together piece by piece!!!,"I am ashamed of myself for being lazy and not going to the gym, I am not sure why I struggle with it",ashamed,[None],"I'm in a positive mood, please congratulate me and praise me."
3385,"['it was pouring down rain when i got home so i grabbed all my stuff and got ready for a break in the rain so i could get in the house without getting soaked.', 'Were you able to avoid the rain?', 'yes thankfully i was able to get in the house without rain falling on me']",That is good!  It seems like you dodged the bullet!,"it began to rain and i waited for it to stop. i became prepared for it to stop so i could run inside my home without getting soaked,",prepared,[None],"I'm in a positive mood, please congratulate me and praise me."
4178,['Phew that was close.'],What happended?,I avoided kissing a girl while I was out one night. I'm in a relationship.,faithful,ask me for further details,[None]
4189,"[""My son's pediatrician told me to call Early Intervention because he's delayed in talking.""]","Oh no, I'm sorry to hear that. Do they have any idea what the cause may be yet?",My son's pediatrician advised me to have early intervention out because he's delayed in talking.  The appointment is set for next week and I don't really know to expect.,anxious,ask me for further details,"I'm in a negative mood, please comfort me."
4278,['I was irritated last week. My landlord seemed to avoid me'],Really? Why is that?,I was pretty irritated last week. My landlord avoided me,annoyed,ask me for further details,[None]
4395,"['I went to meet up with someone who was going buy a guitar from me. He lived 30 minutes away. The guy never answered his door when I got there.', ""I hate it when that happens. I don't feel like it is necessary to flake,they should be sure before they lead people along."", ""i was so mad.  it was a $400 guitar I was selling or I'd not have driven out that way. I had him banned from the sales app i was using.""]",That's completely reasonable considering the distance you had to drive for no reason. hopefully another interested buyer pops up soon.,I went to someone's home who was going to buy a guitar from me after confirmation that he would be there.,trusting,[None],[None]
4654,"['The thing the bugs me the most at my job is really lazy workers , they only work when management is around and as soon as they leave back to being lazy', 'Well thats part of being in the workforce, work when everyone is looking, hang out when they are not. Most people arent paid enough to care', 'well i do care , and if i every become management again im firing everyone slowly']","Sounds a bit harsh, but business is business",lazy workets bug me,annoyed,[None],[None]
4793,"['I had a bad headache this morning. I had coffee delivered and was so thankful for it.', 'Yeah, I know what you mean. Coffee always cures my headache. But then again it is probably not having coffee that causes the headache too.', 'Yep but also drinking coffee causes more headaches in general. I try to avoid it unless I already have a headache.']",I wish I could say the same. I am addicted. :(,I had a bad headache this morning. I had coffee delivery and I was so thankful because it helped the headache.,grateful,[None],[None]
4957,"[""I'm back in my old college town for the first time since graduating. It's weird how many memories flood back from just physically being in a space. I'm seeing all the places I used to eat, my old apartment, my campus, and my friends here and there... makes me wish I could go back"", ""Yeah, it's weird going back to college."", ""Definitely. And also seeing the people. Some grow up, some don't. Some want to be the same kind of person that they were in college, and drag you down with them when you see them again. Have to make sure I avoid those.""]","Oh yeah, bad influences.  When I look at my student loan payments, I don't miss college.","I'm back in my old college town for the first time since graduating. It's weird how many memories flood back from just physically being in a space. I'm seeing all the places I used to eat, my old apartment, my campus, and my friends here and there... makes me wish I could go back",nostalgic,[None],[None]
5042,"['i was going to place an online order for a tshirt, but the site was really sketchy']",What was sketchy about it?,avoided placing an order,apprehensive,ask me for further details,[None]
5207,"['First time I went to my very first Dungeons and Dragons get-together, I felt really overwhelmed with all the verbiage and rules and stuff like that. Had no idea what I was doing and felt dumb. Did my best to learn what I could this time around, and I plan to not drag everyone else down']",What is your character?,"First time I went to my very first Dungeons and Dragons get-together, I felt really overwhelmed with all the verbiage and rules and stuff like that. Had no idea what I was doing and felt dumb. Did my best to learn what I could this time around, and I plan to not drag everyone else down",prepared,ask me for further details,[None]
5266,"['Had a board meeting  to attend ,yet at the last hour, after delay ,it was cancelled', 'That is unfortunate. You must have really angry to have wasted your time.', ""U can't imagine!""]",It has happened to me as well. Its very annoying when it happens.,My flight was cancelled,angry,[None],"I'm in a negative mood, please comfort me."
5352,"['I had my own issues at work.  I was gossiping at work the other day with a coworker of mine.', 'Something juicy I hope.', 'Yeah...just as I called the boss fat and lazy, she comes walking around the corner and hears me. I felt pretty vulnerable at that moment']",Whoops! Did she take it with anything approaching a sense of humor?,I had been talking to another coworker when someone else overheard my call the boss fat and ugly.,ashamed,ask me for further details,[None]
5476,"['My sister in law lived with us and she was so lazy, she slept in until five pm everyday on our couch with the curtains drawn and expect us to all just stay in the dark all day.', ""Oh my gosh, that's so annoying! How did you deal with it?"", 'Well eventually I just called up a local post office and asked if they were hiring, and sent her in to apply and she got a job which got her up.']",That was a good solution! Smart thinking!,"My husband's sister lived with us, and she slept in all day. She was on our couch and would just lay there with the curtains drawn until like five o clock.",annoyed,[None],"I'm in a positive mood, please congratulate me and praise me."
5490,['I am so impatient and ready overwhelmed all of it!'],What are you overwhelmed by,im so ready to see what the future holds,anxious,[None],[None]
5614,"['My son really wanted me to play a video game with him tonight, but I kept on asking him to wait a little longer so I could finish up some work. He ended up falling asleep.', 'Oh no, how did that make you feel?', 'I felt terrible, honestly. I chose work over spending time with my son. Something I always wanted to avoid.']",It happens. But next time you;ll be more aware,"My son kept bugging me to play a video game with him, but I kept putting it off so I could get some more work done. He ended up falling asleep before I could play with him.",guilty,[None],"I'm in a negative mood, please comfort me."
5919,"['When I was a kid, I watched Psycho at a sleepover on Halloween.', ""That's terrifying! I bet you didn't sleep that night!"", 'I actually avoided the shower for days!  lol', 'HA! Are you a fan of horror movies now, or do you still find them scary?', ""I'll watch them now because my husband loves them, but they're not my favorite""]","Yeah, me either, although there have been some good ones lately. Better stories, more plot.","When I was a kid, I watched Psycho at a sleepover on Halloween.  I avoided the shower for days after that.",apprehensive,[None],[None]
5923,"['I accidentally yelled at an elderly person becuase I thought they were being mean to me when they were trying to help me while I was driving.', 'oh what were they doing to you', ""He was making gestures as I was driving past and I thought he was telling me to slow down. I wasn't going that fast and it distracted me so I got upset. Turns out, he was trying to tell me of severe weather in the area."", 'oh , elderly people are little tough to understand', 'He was a very nice man in the end and I apologized profusely.']",yeah thats very nice to apologize to elderly people,I thought that an elderly person was yelling at me that I was driving too fast so I yelled back at him. I told him he had no right to tell me how to drive. But then he apologized to me and said he had just been trying to warn me of some bad weather. I felt really bad that I had assumed.,guilty,[None],"I'm in a positive mood, please congratulate me and praise me."
6614,"['i was at a rangers game and this guy attacked a kid over the shirt he was wearing', ""That sounds like an uncomfortable situation. What ended up happening? I kind of avoid large crowds and sports events because of this, since there's usually alcohol involved."", 'yeah it just made me upset so i had a argument with him']","Oh, so you got involved? Were you trying to protect the kid? If so, I can understand that, and that's noble. Hopefully nothing too negative came from the situation.",I was at a baseball game and this guy heckled a kid an i got into a argument with im,furious,ask me for further details,[None]
6864,"[""At night, my neighbors dog keeps barking and barking and I have no idea why. I've avoided bringing it up to him, but I'm trying to avoid drama.""]","That must be annoying, what kind of dog?","My neighbors dog does not shut up at night and it's agitating me. I've been avoiding bringing it up to him, but it's getting to me n ow.",annoyed,ask me for further details,[None]
6916,['The package that was supposed to be delievered today was delayed by UPS'],That sucks.  Did they give a reason?,The package that was supposed to be delievered today was delayed by UPS,annoyed,ask me for further details,[None]
7024,['A bad storm was coming in just as I was leaving for the airport so I brought extra snacks in case I got delayed.'],Oh that's good you prepared but that's terrible timing!,My plane got delayed because of a storm but I brought snacks just in case.,prepared,[None],"I'm in a positive mood, please congratulate me and praise me."
7503,"['I always get nervous when I drive. The possibility of getting into a car accident is nerve wrecking.', 'I hate driving, I avoid it as much as possible.', 'I think it has to do with seeing a lot of car accidents when I was little.']",Mine was from being in one and just being nervous about having to be in charge of things.,I always get nervous when I drive. The possibility of getting into a car accident is nerve wrecking.,anxious,[None],[None]
7607,"['I did my homework ahead of time. I knew I would not have any free time over the busy weekend.', ""Smart move - it's always a swell idea to get ahead of work so that we can do the things we want to do in life."", ""I agree. I used to procrastinate a lot but I've learned that it's not a good habit.""]","Yup, I used to procrastinate all the time, but I think I am getting better at doing things ahead of time. And it feels so much better to get trivial things out of the way.",I did my homework ahead of time. I knew I would not have enough time on the weekends.,prepared,[None],[None]
8447,"['Just avoided cheating on my girlfriend.', ""Whoa that's out of left field, how'd that happen."", ""i was at a party and this girl came up to me and tried to kiss me, I had to say no. I'm a faithful man.""]",Good for you! Are you going to tell your girlfriend about it?,A girl tried to kiss me at party. I was already in a relationship at the time.,faithful,ask me for further details,"I'm in a positive mood, please congratulate me and praise me."
8465,"['My cat just scratched up my brand new leather couch while I was at work! I am so mad at him right now I could scream!', ""That's frustrating!  We have cat scratching posts EVERYWHERE to try to avoid that, but still had to put the sticky tape on the couch to prevent scratching"", 'I have a cat scratch past as well, but he really liked the smell of the leather.  I should have known he was going to do that.']","Cats are always getting into things they shouldn't, but I still love them",My cat just scratched up my brand new leather couch while I was at work!  I am so mad at him right now I could scream!,angry,[None],[None]
8529,"['Had a board meeting  to attend ,yet at the last hour, after delay ,it was cancelled']",That is unfortunate. You must have really angry to have wasted your time.,My flight was cancelled,angry,[None],"I'm in a negative mood, please comfort me."
8564,"['I am worried about not being ready for the party on Friday', ""You're hosting a party? or attending one? Either way, social gatherings can always be a lot of pressure, so that's why I usually avoid them, unfortunately. What are some of your worries, if you don't mind me asking?"", ""I don't know if I have enough energy to get the house deep cleaned and prepare all the food""]","Oh, so you're hosting. Man, that's definitely hard. I really do feel for you, as I wouldn't have the courage to do that. Well, since you're worried about it, at least it shows you care. And you still have plenty of time to prepare! Do you have anyone that can help?",I am worried about not being ready for the party on Friday,anxious,ask me for further details,"I'm in a negative mood, please comfort me."
8597,"[""Hello there! So I just finished high school and retook maths in my final year because I didn't do well it the year before""]",How did it went?,"I have graduated high school this year. I've always been really smart in school however I am extremely lazy so last year I didn't do too well in maths. I retook maths in my final year and got the exact same result as the year before, which meant I didn't get into the university I wanted so I expected better from myself.",ashamed,ask me for further details,[None]
8791,['I was a little put off when I was passed over for the promotion'],That can be upsetting. Did they tell you why?,I was a little put off when I was passed over for the promotion,annoyed,ask me for further details,"I'm in a negative mood, please comfort me."
8869,['I had to pay a late fee on my car taxes because I procrastinated in paying them on time. I always put off important things because I feel too scared to do them for some reason. Not sure why I keep making the same mistakes'],Me too. I miss payments sometimes because I forget about them and I'm lazy.,I had to pay a late fee on my car taxes because I procrastinated in paying them on time. I always put off important things because I feel too scared to do them for some reason. Not sure why I keep making the same mistakes.,disappointed,[None],[None]
9092,"[""I'm so mad at my son! He's had the entire summer to do his summer reading and he put it off to the last minute!"", ""I'm not suprised. I always did that as a kid."", ""School starts tomorrow and he still isn't done. I guess maybe one day he'll learn not to procrastinate!""]",Yeah the only way he will learn is if he figures it out by himself.,I'm so mad at my son. He has had all summer to do his summer reading and he put it off to the last minute. School starts tomorrow and he still isn't done.,furious,[None],[None]
9156,"['I was reading the news and came across a story about children being killed in a fire. It hurt my heart to think about it', 'That is horrible, so sad.', 'This kind of tragedy is even worse when it could have been avoided.']","Yes, fire prevention shouldn't be that hard.",I was reading the news and came across a story about children being killed in a fire. It hurt my heart to think about it.,sad,[None],[None]
9238,['My brand new car was hit in the grocery store parking lot yesterday.'],did you catch the person?,I was driving through the parking lot of the grocery store.  Some lazy lady looking for a close parking spot backed into my new car.,furious,ask me for further details,[None]
9395,"[""I got this chick's number yesterday and I wasn't expecting it.  I was about to fight this one guy who was talking crap to me but he ran away like a little bitch and she and her friend saw everything...I thought they were gonna start avoiding me...but they actually chatted me up asking me where I'm from and now she's still texting me haha""]",Sounds like quite the adventure you had. You must feel proud of yourself.,I wasn't expecting to get this chick's number yesterday at the gym.  It was a pretty funny story actually,surprised,[None],"I'm in a positive mood, please congratulate me and praise me."
9428,"['I am constantly finding plates with food or grease still on them.', 'That is annoying!  Is someone in your house not doing there job cleaning after themselves.', ""No, they think they are but I guess they are lazy and don't use soap on their dishes or will just dust the plate off and put it in the drain! lol""]",That is no good.  What are you going to do about it?,I have a roommate that things it's ok to not use soap when washing her dishes.,angry,ask me for further details,[None]
9433,"[""Have to go to the doctor tomorrow to see if I have strep throat. I hate when they have to swab the back of your mouth to make sure that it's strep so they can treat you. Really hoping to avoid that this time around.""]","Sorry to hear that, the trouble of going to the doctor just to confirm its strep throat is the worst. It's like I know I have it, just help me!",Have to go to the doctor tomorrow to see if I have strep throat. I hate when they have to swab the back of your mouth to make sure that it's strep so they can treat you. Really hoping to avoid that this time around.,hopeful,[None],"I'm in a negative mood, please comfort me."
9564,"['I uber food fom McDonalds often. I have never gotten a bad order yet. WEird huh', ""that's really good! Have you been driving distracted when you uber?"", ""I don't drive. I order the food lol."", 'oh okay sorry, i was just a little distracted about my car accident the other day.', 'Sorry to hear that']",this semi pushed us off the road I'm still a little freaked out about it,I have never had a bad uber order from McDonalds. That was unexpected.,impressed,[None],[None]
9581,"[""I was at a restaurant and the waiter didn't serve us at all! She was so lazy! I was so dissapointed."", ""That's super frustrating! Did you walk out?"", 'Yes! We got some free drinks basically!']",That's the bit I kind of don't like about restaurants. I get why they don't let you get your own beverages but at the same time it seems unnecessary to have to wait for someone to refill your glass.,I was at a restaurant and the waiter didn't serve us at all! She was so lazy! I was so dissapointed.,annoyed,[None],[None]
9663,"['A bad storm was coming in just as I was leaving for the airport so I brought extra snacks in case I got delayed.', ""Oh that's good you prepared but that's terrible timing!"", ""Yea, it wasn't as bad as it could have been though. The delay was only about half an hour.""]","It's good it ended up not being too bad, storms can be very unpredictable",My plane got delayed because of a storm but I brought snacks just in case.,prepared,[None],"I'm in a positive mood, please congratulate me and praise me."
9694,"['a while back my manager had told me i would most likely get a promotion within the next few weeks.', ""That's great news! You must be excited!"", 'well i was, hahaha its been at least a month now, and it seems like she has been avoiding me!']",Oh gosh. Wonder why she won't be upfront about it.,I had been told at work i w as likely to get a promotion in the next few weeks. It has been almost two months now and I am not happy,disappointed,[None],[None]
9745,"['My daughter is being so lazy this summer.', ""I think that's the usual for kids. How old is she"", '13. I ate her dinner yesterday because she just refused to get up. I feel bad about it now']",That's kind of funny though. How did she react?,I ordered McDonalds yesterday and since my lazy daughter wouldn't get out of bed I ate her food. I kind of fell bad about it.,guilty,ask me for further details,[None]
9786,"[""I got this chick's number yesterday and I wasn't expecting it.  I was about to fight this one guy who was talking crap to me but he ran away like a little bitch and she and her friend saw everything...I thought they were gonna start avoiding me...but they actually chatted me up asking me where I'm from and now she's still texting me haha"", 'Sounds like quite the adventure you had. You must feel proud of yourself.', 'Maybe a little haha I was pretty heated though...glad it turned out for the better']",Yes and hopefully no one was hurt.,I wasn't expecting to get this chick's number yesterday at the gym.  It was a pretty funny story actually,surprised,[None],[None]
10394,"['When I was a kid, I watched Psycho at a sleepover on Halloween.', ""That's terrifying! I bet you didn't sleep that night!"", 'I actually avoided the shower for days!  lol']","HA! Are you a fan of horror movies now, or do you still find them scary?","When I was a kid, I watched Psycho at a sleepover on Halloween.  I avoided the shower for days after that.",apprehensive,ask me for further details,[None]
10427,"[""I used the internet to help me write a paper once because I didn't read the literature. It was flagged for plagiarism."", 'Oh my...You have to be careful when you use the internet for school assignments.', 'Very true! I felt so bad. That was the first and last time that ever happened.']",I know someone else that happened to. I wouldn't take anymore chances either.,"Once upon a time, I had to write a paper for an English assignment. I decided to procrastinate on the assignment and did not read the literature I was supposed to. I decided to use the internet to help me write my paper and my paper was flagged for plagiarism. I felt so bad for not taking the time out to read my assignment.",ashamed,[None],"I'm in a negative mood, please comfort me."
10522,"['I was cleaning out my fridge and found some meat that was over a month old. It was green and really gross.', 'That is disgusting.  Sounds like my dad though,  He keeps things for months', ""Yeah I was just lazy in cleaning stuff out, but I  won't make that mistake again! I don't like to throw up while I'm cleaning.""]",UGH thats bad.  I bet is smelled like crap too,I was cleaning out my refrigerator and found some out dated food. It was absolutely repulsive.,disgusted,[None],"I'm in a positive mood, please congratulate me and praise me."
10638,"['I sent a parcel to my cousin recently and it never arrived. It cost me $50', 'Wow! Some delivery driver must be excited about their latest acquisition!', 'I did think that it had probably been stolen but I try to see the best in people so I hoped it had just been delayed. That was 2 months ago and it still has not arrived. Maybe it is time to move on']",I didn't mean to sound so flippant. That is a lot of money to lose. Was the item itself expensive also?,I sent a parcel to my cousin recently and it never arrived. It cost me $50,trusting,ask me for further details,[None]
10805,"['I am afraid of how the Nintendo Switch has been doing recently, a lot of games have been delayed or cancelled', ""Oh, is that the newest? I haven't played on one since super nintendo!"", 'It is, a cool console, but the delays are killer']","What is it like playing it, is it virtual reality/?","I am afraid of how the Nintendo Switch has been doing recently, a lot of games have been delayed or cancelled",afraid,ask me for further details,[None]
11016,['I decided to treat myself tonight and make grill a huge steak for myself tonight.'],That sounds really great and delicious!,I decided to grill a steak tonight for dinner.  I got distracted and it got burned.,angry,[None],"I'm in a positive mood, please congratulate me and praise me."
11030,"[""I've been trying to lose weight for a while but I think I've finally gotten to where I can make lunches that are healthy but I still want to eat, and I don't feel like I'm starving literally all the time.""]",Oh that is great! I have had great success doing keto and fasting for not feeling so hungry! Carbs and sugar do me in! What kind of lunches do you make?,"I've been trying to diet forever, but at first I was suffering. Now, I've finally gotten to where I can make healthy lunches that I still want to eat, and don't feel like I'm starving all the time.",content,ask me for further details,"I'm in a positive mood, please congratulate me and praise me."
